"Date","Close","CloseI","correlation","beta","r2"
"2011-02",39.8899993896484,10850.7998046875,0.479303436360707,0.00248882331404393,0.229731784107182
"2011-03",40.0849990844727,10576.5,0.475328099228303,0.00250360099515369,0.225936801915992
"2011-04",41.1500015258789,10878.900390625,0.472881853798483,0.00252729246465989,0.22361724765189
"2011-05",39.2000007629395,10476,0.469191211707644,0.00253833172280303,0.220140393143687
"2011-06",40.5299987792969,10359.900390625,0.464570326869694,0.0025464924432373,0.215825588607815
"2011-07",39,9630.7001953125,0.456973383447599,0.00253262527185047,0.208824673179546
"2011-08",36.1500015258789,8718.599609375,0.446539109814328,0.00249261939075445,0.199397176593773
"2011-09",38.185001373291,8546.599609375,0.434174460147306,0.00244383505516252,0.188507461844205
"2011-10",38.4599990844727,8954.900390625,0.424331341529403,0.00240978874212725,0.180057087404143
"2011-11",39.7000007629395,8449.5,0.411265883772231,0.00235628683366347,0.169139627154954
"2011-12",38.5,8566.2998046875,0.400137426315667,0.00231030156403198,0.160109959938526
"2012-01",39.7999992370605,8509.2001953125,0.388287291994533,0.00226081542670914,0.150767021124448
"2012-02",40.3549995422363,8465.900390625,0.376297290760965,0.00220967945212695,0.141599651034042
"2012-03",40.689998626709,8008,0.361985887887825,0.00214161169133569,0.131033783029937
"2012-04",40.3450012207031,7011,0.342782138007725,0.00203610775083548,0.117499594137147
"2012-05",35.5499992370605,6089.7998046875,0.323707457830073,0.00191673555748015,0.104786518254808
"2012-06",36.7000007629395,7102.2001953125,0.309368311870075,0.00183472024641557,0.0957087523893401
"2012-07",36.5,6738.10009765625,0.293960278023353,0.00174360031766582,0.0864126450555669
"2012-08",35.5950012207031,7420.5,0.282766660846078,0.00168019919928143,0.079956984486041
"2012-09",37.9500007629395,7708.5,0.271735457257075,0.001620982893883,0.0738401587307117
"2012-10",36.7000007629395,7842.89990234375,0.262317487113565,0.00157004210614243,0.0688104640455752
"2012-11",35.2350006103516,7934.60009765625,0.254276565396243,0.00152592098808571,0.0646565717097099
"2012-12",34.9000015258789,8167.5,0.247453077965031,0.00148921273299673,0.0612330257943676
"2013-01",36.8899993896484,8362.2998046875,0.240681638997744,0.00145455890769435,0.0579276513506404
"2013-02",32.8650016784668,8230.2998046875,0.235237128788416,0.00142428128580917,0.0553365067606177
"2013-03",28.1149997711182,7920,0.230996728571672,0.00139785657994166,0.0533594886108145
"2013-04",30,8419,0.22731514326655,0.00137692723587975,0.051672174358292
"2013-05",32.1500015258789,8320.599609375,0.22270289489976,0.00135117663054059,0.0495965793967336
"2013-06",32.7949981689453,7762.7001953125,0.216287281638174,0.00131328414055776,0.0467801881984306
"2013-07",32.4199981689453,8433.400390625,0.212106374597847,0.00129027274202882,0.0449891141450423
"2013-08",33.5999984741211,8290.5,0.207197049201308,0.00126303574746915,0.0429306171977294
"2013-09",38,9186.099609375,0.204057793683656,0.00125039983651899,0.0416395831630417
"2013-10",38.2849998474121,9907.900390625,0.203439483968134,0.00125338669984881,0.0413876236372208
"2013-11",39.9650001525879,9837.599609375,0.202432030710838,0.00125501562157443,0.0409787270577135
"2013-12",38.4300003051758,9916.7001953125,0.201875329124112,0.00125814183257313,0.0407536485089686
"2014-01",37.5,9920.2001953125,0.201420342733035,0.00126114810527234,0.0405701544666931
"2014-02",38.5950012207031,10114.2001953125,0.201528980200598,0.00126822412391569,0.0406139298606932
"2014-03",37.2449989318848,10340.5,0.202366490004998,0.00127879845131492,0.040952196276943
"2014-04",34.5,10459,0.203457185735651,0.00128927206290095,0.0413948264274713
"2014-05",34.25,10798.7001953125,0.205304352499997,0.00130399841809474,0.042149877155443
"2014-06",34.9300003051758,10923.5,0.207472781657069,0.00132094041072058,0.0430449551285217
"2014-07",31.1000003814697,10707.2001953125,0.208783919615445,0.00133095245257756,0.0435907250899887
"2014-08",30.0849990844727,10728.7998046875,0.210012045814605,0.0013400154176579,0.0441050593872358
"2014-09",26.4599990844727,10825.5,0.210908945733663,0.00134574271308192,0.0444825833904853
"2014-10",26.5550003051758,10477.7998046875,0.211485461401365,0.00134987504045527,0.0447261003841484
"2014-11",27.7999992370605,10770.7001953125,0.212476306422758,0.0013566226083817,0.0451461807910578
"2014-12",30.2350006103516,10279.5,0.212957544624944,0.00136140890472401,0.045350915812685
"2015-01",29.7450008392334,10403.2998046875,0.213607860535149,0.00136699368495185,0.0456283180824037
"2015-02",31.9750003814697,11178.2998046875,0.21569820729691,0.00138154435721285,0.0465257166311007
"2015-03",30.9449996948242,11521.099609375,0.218082041725459,0.00139677793001006,0.0475597769231449
"2015-04",31.0699996948242,11385,0.22025955484141,0.00141107010739412,0.0485142714989359
"2015-05",30,11217.599609375,0.221979171172431,0.00142239471905902,0.0492747524343994
"2015-06",26.6550006866455,10769.5,0.222723084147439,0.0014272567687027,0.0496055722121471
"2015-07",25.8999996185303,11180.7001953125,0.223635527220408,0.00143233463685662,0.0500128490351498
"2015-08",27.8700008392334,10259,0.223942096946348,0.00143520871320421,0.0501500627847277
"2015-09",27.5849990844727,9559.900390625,0.223421366621446,0.00143273721931415,0.0499171070629946
"2015-10",25.3899993896484,10360.7001953125,0.223723548783223,0.00143493089777656,0.050052226280159
"2015-11",25.5400009155273,10386.900390625,0.224048819464214,0.00143727777874968,0.050197873503308
"2015-12",25.5499992370605,9544.2001953125,0.223693758033946,0.0014353800404597,0.0500388973833497
"2016-01",24.4950008392334,8815.7998046875,0.222836281620363,0.00142931786903721,0.0496560084063896
"2016-02",25.8199996948242,8461.400390625,0.221318007890681,0.00141859829170716,0.0489816606166993
"2016-03",28.0499992370605,8723.099609375,0.219624046046878,0.0014077811007632,0.0482347216020012
"2016-04",28.3999996185303,9025.7001953125,0.218325435789052,0.0014000287516941,0.0476659959124793
"2016-05",29.1800003051758,9034,0.216915635209272,0.00139178436307456,0.047052392798242
"2016-06",30.5699996948242,8163.2998046875,0.213621501142602,0.00137030364021984,0.0456341457504186
"2016-07",32.5950012207031,8587.2001953125,0.21066193980775,0.00135261441663334,0.0443784528835642
"2016-08",34.3250007629395,8716.7998046875,0.207600057471516,0.0013351647370952,0.0430977838621767
"2016-09",35.7799987792969,8779.400390625,0.20438490020686,0.00131740755150155,0.041773187432568
"2016-10",34.3300018310547,9143.2998046875,0.202422930733076,0.00130737039505282,0.0409750428865676
"2016-11",34.5,8688.2001953125,0.19938655548018,0.0012898182419084,0.0397549985062508
"2016-12",38.2999992370605,9352.099609375,0.197372446285563,0.00128134393658666,0.0389558825527474
"2017-01",37.5999984741211,9315.2001953125,0.195402144246812,0.00127260984223125,0.0381819979762518
"2017-02",35.2999992370605,9555.5,0.194368323718001,0.00126889180965665,0.0377790452649455
"2017-03",35.8499984741211,10462.900390625,0.195353174221152,0.00127830822076821,0.0381628626782796
"2017-04",36.8899993896484,10715.7998046875,0.196940493811538,0.00129188745436763,0.0387855581027326
"2017-05",37.9000015258789,10880,0.198964829865569,0.00130863279692817,0.0395870035234346
"2017-06",35.9599990844727,10444.5,0.199860277080324,0.00131751990615365,0.039944130354624
"2017-07",37.5900001525879,10502.2001953125,0.200923419479075,0.00132823258204033,0.0403702204951645
"2017-08",35,10299.5,0.201476507645407,0.0013345230815539,0.0405927831329896
"2017-09",34.2299995422363,10381.5,0.202163620027667,0.00134131389359996,0.0408701292626909
"2017-10",35.3499984741211,10523.5,0.203151646410598,0.00135042972751483,0.0412705914393368
"2017-11",35.0999984741211,10211,0.203507183092239,0.0013554580049515,0.0414151735701383
"2017-12",34.1800003051758,10043.900390625,0.203552163630697,0.00135809246443009,0.0414334833187381
"2018-01",37.5,10451.5,0.204433946170098,0.00136751257397813,0.0417932383466787
"2018-02",39.5999984741211,9840.2998046875,0.203723782879364,0.00136760332277847,0.0415033797106781
"2018-03",42,9600.400390625,0.202082484167871,0.0013626814965635,0.0408373304074577
"2018-04",39.7999992370605,9980.599609375,0.201768180383805,0.0013653192444108,0.0407103986153915
"2018-05",39.9500007629395,9465.5,0.200052083206215,0.00135836357656735,0.0400208359951464
"2018-06",41.0999984741211,9622.7001953125,0.198665977750106,0.00135421268368608,0.0394681707154057
"2018-07",38,9870.7001953125,0.19822538160385,0.00135482891049121,0.039293301911992
"2018-08",38.2999992370605,9399.099609375,0.196629940697842,0.00134748207694366,0.038663333578837
"2018-09",35.8499984741211,9389.2001953125,0.195350304300896,0.00134115466977207,0.0381617413904527
"2018-10",33.2000007629395,8893.5,0.193542820934904,0.00132975136646353,0.0374588235354404
"2018-11",34.5999984741211,9077.2001953125,0.191853868373794,0.00131979567966176,0.0368079068099889
"2018-12",36.2000007629395,8539.900390625,0.188733454425479,0.00129977217192933,0.0356203168193742
"2019-01",39.3499984741211,9056.7001953125,0.18624399652463,0.00128604372950914,0.0346868262414665
"2019-02",41.7999992370605,9277.7001953125,0.183995323000553,0.00127522512591698,0.0338542788860778
"2019-03",42.8499984741211,9240.2998046875,0.181510082354276,0.00126310639346669,0.0329459099962561
"2019-04",42,9570.599609375,0.180153585015784,0.00125840197900063,0.0324553141940392
"2019-05",37.8499984741211,9004.2001953125,0.177946499401851,0.00124539969435254,0.031664956649373
"2019-06",40.2999992370605,9198.7998046875,0.175852309887603,0.00123427981885409,0.0309240348928056
"2019-07",40.9500007629395,8971,0.17307390959002,0.00121829802972414,0.0299545781807744
"2019-08",39.5,8812.900390625,0.170203936532856,0.00120072785533733,0.0289693800112804
"2019-09",41.6500015258789,9244.599609375,0.168144261326665,0.00119007178237175,0.0282724926170897
"2019-10",40.25,9257.5,0.16634458349073,0.00118053954277592,0.0276705204567043
"2019-11",39.6500015258789,9352,0.164878278977532,0.00117309444313351,0.0271848468785928
"2019-12",41,9549.2001953125,0.163778670234243,0.00116879105130294,0.0268234528236969
"2020-01",40.0499992370605,9367.900390625,0.162345059454027,0.00116156617260881,0.0263559183291317
"2020-02",39.25,8723.2001953125,0.159512521144531,0.00114336876269276,0.0254442444018844
"2020-03",28.25,6785.39990234375,0.156883500583625,0.00111958052593004,0.0246124327553724
"2020-04",31.25,6922.2998046875,0.153181144892142,0.00108925934038142,0.0234644631504674
"2020-05",31.0499992370605,7096.5,0.149876955883908,0.00106250704230172,0.0224631019050269
"2020-06",32.2999992370605,7231.39990234375,0.146341329262087,0.00103488226617079,0.0214157846501945
"2020-07",29.1499996185303,6877.39990234375,0.143640610545539,0.00101193524703965,0.0206326249978953
"2020-08",30,6969.5,0.140747358159493,0.000988201585850358,0.0198098188288766
"2020-09",29.4500007629395,6716.60009765625,0.137832911004101,0.000963778410635694,0.0189979113558644
"2020-10",27.2000007629395,6452.2001953125,0.135705380379453,0.000944153148253058,0.0184159502639319
"2020-11",35.2999992370605,8076.89990234375,0.132867235796454,0.000924411444362112,0.0176537023481905
"2020-12",39.25,8073.7001953125,0.129051189726808,0.000898786224275665,0.0166542095699047
"2021-01",37,7757.5,0.125240465973123,0.000872126687799918,0.015685174317165
"2021-02",36.7000007629395,8225,0.122462314123483,0.000853239529374176,0.0149970183804786
"2021-03",39.0999984741211,8580,0.119942143487461,0.000837016656092627,0.0143861177843666
"2021-04",40.0499992370605,8815,0.117811370812362,0.000823853542719445,0.013879519092688
"2021-05",38.3499984741211,9148.900390625,0.11661791651411,0.000816953548655189,0.0135997384520918
"2021-06",35.5499992370605,8821.2001953125,0.115190162300504,0.000807650151697794,0.0132687734908165
"2021-07",35.75,8675.7001953125,0.113514296735088,0.000796516634909567,0.0128854955632615
"2021-08",36.2999992370605,8846.599609375,0.112059294286514,0.000787118408233115,0.0125572854359916
"2021-09",35.9500007629395,8796.2998046875,0.110584837163705,0.000777463579989128,0.0122290062105231
"2021-10",37.9500007629395,9057.7001953125,0.109336722612354,0.000769875321556394,0.0119545189116109
"2021-11",35.0999984741211,8305.099609375,0.107264826132144,0.000755436196489865,0.0115057429251592
"2021-12",36.5999984741211,8713.7998046875,0.105613854316961,0.00074451481130131,0.0111542862236843
"2022-01",35,8612.7998046875,0.104063901420504,0.000733962878274902,0.0108292955788564
"2022-02",31.2999992370605,8479.2001953125,0.102961512943778,0.000726029282138283,0.0106010731476718
"2022-03",29.7999992370605,8445.099609375,0.10208883764389,0.000719575900718,0.0104221307714806
"2022-04",29.2999992370605,8584.2001953125,0.101404558944904,0.000714529109463337,0.0102828845748105
"2022-05",29.6000003814697,8851.5,0.100874482544287,0.000710752076638473,0.0101756612285777
"2022-06",28.1000003814697,8098.7001953125,0.100107651171759,0.000704661857202175,0.0100215418231265
"2022-07",28.8999996185303,8156.2001953125,0.0992209055880796,0.000697839947487888,0.00984478810571861
"2022-08",28.7999992370605,7886.10009765625,0.0981833923421081,0.000689694557652205,0.00963997853180433
"2022-09",23.1499996185303,7366.7998046875,0.0984793359453999,0.000690197142420775,0.00969817960824693
"2022-10",26.3999996185303,7956.5,0.0980362222893769,0.000686260437588994,0.00961110088077212
"2022-11",27.9500007629395,8363.2001953125,0.0974732596631717,0.000681912173977109,0.0095010363493641
"2022-12",26.5,8229.099609375,0.0971107390489077,0.000678823324420487,0.00943049563862505
"2023-01",29.5499992370605,9034,0.0967524521226045,0.000676365969015111,0.00936103699173687
"2023-02",28,9314.2998046875,0.0966398919726955,0.000675618667431923,0.00933926872049426
